2011;LCM;F;1;40 - 44;50;FREE;EDITHOTTERMANN;RSA;11.07.2009;26.44;26.44
2011;LCM;F;1;40 - 44;100;FREE;MARIADOELGER;USA;8/17/2003;58.43;58.43
2011;LCM;F;1;40 - 44;200;FREE;K.PIPES - NEILSEN;USA;8/15/2005;02:09.3;129.28
2011;LCM;F;1;40 - 44;400;FREE;K.PIPES - NEILSEN;USA;08.11.2002;04:28.2;268.24
2011;LCM;F;1;40 - 44;800;FREE;K.PIPES - NEILSEN;USA;9/29/2002;09:24.8;564.77
2011;LCM;F;1;40 - 44;1500;FREE;K.PIPES - NEILSEN;USA;08.11.2003;17:56.5;1076.5
2011;LCM;F;1;40 - 44;50;BACK;CINDYMABEE;CAN;03.07.2009;31.49;31.49
2011;LCM;F;1;40 - 44;100;BACK;CINDYMABEE;CAN;03.07.2009;01:07.1;67.06
2011;LCM;F;1;40 - 44;200;BACK;JODYSMITH;USA;08.06.2009;02:23.2;143.18
2011;LCM;F;1;40 - 44;50;BREAST;S.VONDERLIPPE;USA;7/23/2006;33.25;33.25
2011;LCM;F;1;40 - 44;100;BREAST;S.VONDERLIPPE;USA;5/23/2009;01:13.8;73.78
2011;LCM;F;1;40 - 44;200;BREAST;S.VONDERLIPPE;USA;08.09.2006;02:38.4;158.44
2011;LCM;F;1;40 - 44;50;FLY;S.VONDERLIPPE;USA;5/25/2009;28.52;28.52
2011;LCM;F;1;40 - 44;100;FLY;S.VONDERLIPPE;USA;5/23/2009;01:03.4;63.36
2011;LCM;F;1;40 - 44;200;FLY;S.VONDERLIPPE;USA;7/23/2006;02:24.8;144.78
2011;LCM;F;1;40 - 44;200;MEDLEY;S.VONDERLIPPE;USA;08.05.2007;02:25.0;145.03
2011;LCM;F;1;40 - 44;400;MEDLEY;K.PIPES - NEILSEN;USA;08.01.2004;05:09.8;309.83
2011;LCM;F;1;45 - 49;50;FREE;EDITHOTTERMANN;RSA;3/16/2011;26.59;26.59
2011;LCM;F;1;45 - 49;100;FREE;K.PIPES - NEILSEN;USA;08.05.2007;59.79;59.79
2011;LCM;F;1;45 - 49;200;FREE;K.PIPES - NEILSEN;USA;6/13/2009;02:10.1;130.09
2011;LCM;F;1;45 - 49;400;FREE;K.PIPES - NEILSEN;USA;09.06.2008;04:35.8;275.84
2011;LCM;F;1;45 - 49;800;FREE;K.PIPES - NEILSEN;USA;08.05.2007;09:24.1;564.11
2011;LCM;F;1;45 - 49;1500;FREE;S.HEIM - BOWEN;USA;8/17/2003;17:55.8;1075.8
2011;LCM;F;1;45 - 49;50;BACK;VALERIEJENKINS;USA;8/17/2008;31.71;31.71
2011;LCM;F;1;45 - 49;100;BACK;K.PIPES - NEILSEN;USA;5/24/2009;01:08.1;68.11
2011;LCM;F;1;45 - 49;200;BACK;K.PIPES - NEILSEN;USA;5/22/2009;02:26.1;146.06
2011;LCM;F;1;45 - 49;50;BREAST;S.VONDERLIPPE;USA;7/17/2010;33.66;33.66
2011;LCM;F;1;45 - 49;100;BREAST;MARZENAKULIS;ITA;9/17/2009;01:13.5;73.49
